Iain	Coleman	Hammersmith & Fulham	£0	£1,527	£17,475	£69,826	£2,481	£0	£1,358	£1,617	£0
Tim	Collins	Westmorland & Lonsdale	£16,896	£0	£17,596	£56,722	£8,712	£252	£354	£1,898	£0
Tony	Colman	Putney	£0	£1,527	£14,779	£72,056	£1,189	£0	£539	£1,885	£0
Michael	Connarty	Falkirk East	£19,722	£0	£18,081	£61,551	£19,702	£2,031	£1,001	£1,710	£0
Derek	Conway	Old Bexley & Sidcup	£19,722	£0	£18,234	£72,310	£9,272	£0	£1,084	£1,979	£0
Frank	Cook	Stockton North	£15,114	£0	£17,957	£58,851	£27,737	£239	£743	£1,527	£0
Robin	Cook	Livingston	£17,487	£0	£18,144	£54,553	£12,810	£362	£433	£809	£0
Yvette	Cooper	Pontefract & Castleford	£19,022	£1,527	£18,226	£65,539	£10,155	£1,679	£2,428	£1,728	£0
Jeremy	Corbyn	Islington North	£0	£1,527	£18,234	£71,926	£3,342	£0	£2,210	£1,793	£0
Patrick	Cormack	South Staffordshire	£19,668	£0	£15,491	£65,596	£8,665	£0	£1,529	£933	£0
Jean	Corston	Bristol East	£15,296	£0	£18,227	£65,596	£9,716	£1,033	£1,084	£1,952	£621
Brian	Cotter	Weston-Super-Mare	£19,592	£0	£18,219	£68,376	£9,055	£381	£761	£1,817	£0
Jim	Cousins	Newcastle upon Tyne Central	£13,312	£0	£17,972	£65,557	£19,169	£1,517	£1,125	£1,961	£11,280
Tom	Cox	Tooting	£0	£1,527	£12,892	£71,572	£12,388	£0	£1,074	£1,308	£0
James	Cran	Beverley & Holderness	£18,376	£0	£7,754	£58,895	£12,166	£0	£782	£0	£0
Ross	Cranston	Dudley North	£6,390	£0	£17,996	£70,910	£7,677	£624	£786	£1,958	£0
David	Crausby	Bolton North East	£19,722	£0	£17,101	£62,687	£15,341	£1,876	£605	£1,882	£0
Jon	Cruddas	Dagenham	£19,631	£0	£17,596	£69,477	£5,338	£0	£1,646	£1,968	£0
Ann	Cryer	Keighley	£19,680	£0	£18,234	£61,582	£11,397	£1,111	£1,745	£1,773	£0
John	Cryer	Hornchurch	£13,600	£0	£14,911	£68,099	£1,560	£0	£1,118	£1,934	£0
John	Cummings	Easington	£19,365	£0	£18,234	£64,668	£23,585	£1,854	£302	£1,921	£0
Jack	Cunningham	Copeland	£19,722	£0	£12,639	£61,980	£18,342	£0	£577	£1,612	£0
Jim	Cunningham	Coventry South	£16,900	£0	£18,170	£64,311	£10,615	£81	£683	£1,862	£0
Tony	Cunningham	Workington	£19,722	£0	£12,824	£65,276	£11,195	£273	£875	£1,737	£0
David	Curry	Skipton & Ripon	£18,883	£0	£6,339	£59,196	£10,390	£0	£441	£1,725	£0
Claire	Curtis-Thomas	Crosby	£19,722	£0	£18,215	£69,067	£24,853	£974	£6,045	£2,021	£9,932
Tam	Dalyell	Linlithgow	£16,435	£0	£0	£34,113	£16,226	£0	£178	£562	£0
Alistair	Darling	Edinburgh Central	£14,792	£1,527	£16,113	£52,399	£14,575	£0	£580	£1,412	£0
Edward	Davey	Kingston & Surbiton	£0	£0	£18,044	£72,260	£2,500	£0	£1,415	£1,961	£5,185
Valerie	Davey	Bristol West	£9,208	£0	£17,860	£65,064	£2,218	£596	£2,059	£1,453	£0
Wayne	David	Caerphilly	£19,722	£0	£18,234	£63,788	£15,102	£584	£1,677	£2,023	£0
Ian	Davidson	Glasgow, Pollok	£19,722	£0	£18,234	£61,699	£18,856	£541	£1,010	£1,738	£0
Denzil	Davies	Llanelli	£18,439	£0	£7,944	£61,980	£14,240	£192	£200	£0	£0
Geraint	Davies	Croydon Central	£19,722	£0	£18,234	£72,173	£1,469	£0	£3,717	£1,933	£3,076
Quentin	Davies	Grantham & Stamford	£19,565	£0	£18,234	£69,212	£18,904	£665	£499	£1,939	£0
David	Davis	Haltemprice & Howden	£19,722	£0	£18,234	£65,555	£9,515	£364	£930	£1,790	£0
Terry	Davis	Birmingham, Hodge Hill	£13,342	£0	£7,163	£59,726	£6,635	£322	£976	£1,525	£0
Hilton	Dawson	Lancaster & Wyre	£18,604	£0	£18,222	£65,596	£18,702	£1,040	£2,643	£2,015	£0
Janet	Dean	Burton	£15,900	£0	£13,745	£65,293	£5,519	£308	£1,387	£1,970	£4,078
John	Denham	Southampton, Itchen	£19,722	£1,474	£18,106	£61,856	£2,611	£48	£743	£1,916	£1,300
Parmjit	Dhanda	Gloucester	£19,722	£0	£18,234	£69,212	£7,927	£491	£2,344	£1,937	£0
Andrew	Dismore	Hendon	£19,028	£0	£18,231	£72,214	£4,959	£0	£10,989	£1,862	£0
Jonathan	Djanogly	Huntingdon	£19,657	£0	£16,383	£65,570	£6,284	£98	£669	£1,396	£0
Jim	Dobbin	Heywood & Middleton	£18,056	£0	£14,139	£68,687	£12,176	£1,200	£937	£2,010	£0
Frank	Dobson	Holborn & St Pancras	£0	£1,527	£12,394	£71,100	£703	£0	£1,661	£1,400	£0
Nigel	Dodds	Belfast North	£19,181	£0	£18,108	£61,878	£22,143	£333	£1,422	£1,877	£6,122
Pat	Doherty	West Tyrone	£18,065	£0	£18,234	£44,883	£8,176	£110	£0	£1,431	£0
Jeffrey M.	Donaldson	Lagan Valley	£19,722	£0	£18,234	£61,871	£17,817	£1,057	£1,275	£1,866	£0
Brian H.	Donohoe	Cunninghame South	£19,522	£0	£18,234	£60,816	£24,969	£1,677	£621	£1,943	£1,216
Frank	Doran	Aberdeen Central	£19,722	£0	£18,234	£63,788	£22,429	£1,751	£1,632	£2,096	£0
Stephen	Dorrell	Charnwood	£19,022	£0	£9,167	£51,924	£9,509	£0	£960	£1,945	£0
Sue	Doughty	Guildford	£17,532	£0	£17,403	£65,364	£3,634	£0	£1,623	£1,854	£0
Jim	Dowd	Lewisham West	£0	£1,527	£18,206	£72,310	£2,542	£0	£573	£1,979	£0
David	Drew	Stroud	£17,165	£0	£9,967	£61,305	£9,439	£192	£1,933	£1,937	£0
Julia	Drown	South Swindon	£14,750	£0	£18,234	£65,596	£4,306	£237	£2,362	£1,820	£53
Alan	Duncan	Rutland & Melton	£19,722	£0	£18,234	£65,277	£11,527	£569	£954	£1,996	£0
