														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Goodman	Helen	£145,716.00	£124,320.00	£21,396.00	£23,083.00	£0.00	£11,902.00	£73,721.00	£506.00	£3,453.00	£970.00	£0.00	£10,685.00	£1,410.00	£16,617.00	£0.00	£333.00	£0.00	£0.00	£0.00	£0.00	£1,483.00	39	£753.00	56	£800.00	9
Brady	Mr Graham	£145,627.00	£129,895.00	£15,732.00	£23,083.00	£0.00	£16,287.00	£86,685.00	£664.00	£2,351.00	£825.00	£0.00	£0.00	£5,392.00	£765.00	£2,889.00	£2.00	£0.00	£0.00	£0.00	£722.00	£3,039.00	26	£2,923.00	47	£0.00	0
Williams	Stephen	£145,585.00	£139,393.00	£6,192.00	£20,721.00	£0.00	£19,280.00	£89,769.00	£460.00	£805.00	£1,159.00	£0.00	£7,199.00	£0.00	£4,528.00	£0.00	£0.00	£92.00	£52.00	£0.00	£1,041.00	£0.00	2	£0.00	0	£479.00	11
Heppell	Mr John	£145,538.00	£138,901.00	£6,637.00	£23,083.00	£0.00	£21,313.00	£81,306.00	£1,249.00	£5,750.00	£1,337.00	£0.00	£4,863.00	£1,891.00	£4,276.00	£0.00	£21.00	£0.00	£0.00	£0.00	£0.00	£449.00	6	£0.00	0	£0.00	0
Williams	Mark	£145,483.00	£133,245.00	£12,238.00	£19,787.00	£0.00	£13,220.00	£87,293.00	£588.00	£1,442.00	£1,290.00	£0.00	£9,625.00	£4,466.00	£7,116.00	£0.00	£90.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£566.00	17
Goodwill	Mr Robert	£145,387.00	£134,990.00	£10,397.00	£22,897.00	£0.00	£15,724.00	£88,496.00	£346.00	£1,965.00	£1,050.00	£0.00	£4,512.00	£4,152.00	£4,120.00	£0.00	£66.00	£872.00	£162.00	£0.00	£0.00	£650.00	17	£180.00	18	£195.00	14
Morley	Rt Hon Elliot	£145,373.00	£133,938.00	£11,435.00	£19,140.00	£0.00	£18,302.00	£87,457.00	£465.00	£1,345.00	£1,216.00	£0.00	£6,013.00	£2,441.00	£7,817.00	£0.00	£0.00	£0.00	£26.00	£0.00	£993.00	£0.00	0	£0.00	0	£158.00	2
Ottaway	Richard	£145,373.00	£142,458.00	£2,915.00	£21,481.00	£0.00	£15,484.00	£87,151.00	£767.00	£1,785.00	£1,257.00	£0.00	£14,533.00	£2,132.00	£0.00	£0.00	£0.00	£71.00	£0.00	£0.00	£448.00	£264.00	30	£0.00	0	£0.00	0
Cox	Mr Geoffrey	£145,360.00	£131,894.00	£13,466.00	£20,250.00	£0.00	£20,898.00	£81,135.00	£567.00	£1,523.00	£1,238.00	£0.00	£6,283.00	£3,396.00	£8,885.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,120.00	10	£65.00	1	£0.00	0
Austin	John	£145,285.00	£143,591.00	£1,694.00	£23,083.00	£0.00	£14,363.00	£96,202.00	£937.00	£2,454.00	£1,066.00	£0.00	£5,486.00	£1,658.00	£18.00	£0.00	£18.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Hague	Rt Hon William	£145,123.00	£132,182.00	£12,941.00	£21,376.00	£0.00	£15,726.00	£88,468.00	£981.00	£4,061.00	£1,234.00	£0.00	£336.00	£4,969.00	£2,626.00	£981.00	£0.00	£0.00	£0.00	£0.00	£0.00	£4,164.00	28	£0.00	0	£201.00	4
Wood	Mike	£144,984.00	£139,380.00	£5,604.00	£17,976.00	£0.00	£11,129.00	£100,135.00	£1,007.00	£3,410.00	£1,164.00	£1,678.00	£2,881.00	£4,869.00	£293.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£442.00	4
Cruddas	Jon	£144,961.00	£141,367.00	£3,594.00	£23,071.00	£0.00	£13,067.00	£82,371.00	£2,146.00	£4,830.00	£1,118.00	£5,295.00	£9,469.00	£3,176.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£418.00	£0.00	0	£0.00	0	£0.00	0
Tami	Mark	£144,749.00	£134,460.00	£10,289.00	£23,079.00	£0.00	£20,656.00	£80,206.00	£658.00	£2,724.00	£1,401.00	£0.00	£5,736.00	£8,538.00	£762.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£989.00	10	£0.00	0	£0.00	0
Whitehead	Dr Alan	£144,689.00	£139,886.00	£4,803.00	£14,190.00	£0.00	£18,207.00	£90,627.00	£1,768.00	£3,186.00	£1,399.00	£0.00	£10,509.00	£1,118.00	£2,911.00	£0.00	£0.00	£0.00	£63.00	£0.00	£612.00	£0.00	0	£0.00	0	£99.00	7
Hoban	Mr Mark	£144,636.00	£137,243.00	£7,393.00	£21,280.00	£0.00	£15,979.00	£85,250.00	£1,010.00	£3,799.00	£1,139.00	£0.00	£8,786.00	£4,145.00	£315.00	£0.00	£0.00	£0.00	£910.00	£0.00	£422.00	£1,543.00	29	£0.00	0	£58.00	4
Waltho	Lynda	£144,615.00	£136,409.00	£8,206.00	£16,625.00	£0.00	£19,616.00	£83,925.00	£1,514.00	£5,466.00	£1,037.00	£0.00	£8,226.00	£2,712.00	£4,174.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£403.00	10	£295.00	8	£622.00	14
McCarthy-Fry	Sarah	£144,498.00	£137,889.00	£6,609.00	£16,792.00	£0.00	£18,240.00	£87,669.00	£1,368.00	£3,337.00	£1,005.00	£0.00	£9,478.00	£1,340.00	£4,465.00	£0.00	£0.00	£0.00	£144.00	£0.00	£0.00	£482.00	10	£0.00	0	£178.00	8
Russell	Bob	£144,373.00	£138,217.00	£6,156.00	£10,963.00	£0.00	£20,737.00	£91,105.00	£1,030.00	£3,032.00	£1,350.00	£0.00	£10,000.00	£2,309.00	£2,209.00	£0.00	£0.00	£330.00	£445.00	£0.00	£0.00	£156.00	6	£0.00	0	£707.00	21
O'Brien	Mr Mike	£144,360.00	£135,865.00	£8,495.00	£8,963.00	£0.00	£24,234.00	£87,545.00	£505.00	£2,031.00	£1,255.00	£1,269.00	£10,063.00	£2,134.00	£5,815.00	£0.00	£0.00	£42.00	£0.00	£0.00	£0.00	£277.00	13	£227.00	23	£0.00	0
Munn	Meg	£144,356.00	£133,125.00	£11,231.00	£23,083.00	£0.00	£14,631.00	£81,047.00	£1,308.00	£5,565.00	£1,180.00	£0.00	£6,311.00	£2,309.00	£6,285.00	£0.00	£91.00	£0.00	£0.00	£0.00	£0.00	£2,052.00	24	£0.00	0	£494.00	5
Rammell	Bill	£144,340.00	£142,866.00	£1,474.00	£12,928.00	£0.00	£21,410.00	£90,333.00	£1,785.00	£5,102.00	£1,338.00	£0.00	£9,970.00	£1,080.00	£244.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£150.00	24
Thurso	John	£144,323.00	£111,189.00	£33,134.00	£21,448.00	£0.00	£5,093.00	£74,874.00	£553.00	£2,336.00	£1,287.00	£0.00	£5,598.00	£5,121.00	£3,595.00	£15,681.00	£0.00	£0.00	£0.00	£0.00	£740.00	£4,486.00	22	£1,951.00	12	£1,560.00	11
Goggins	Paul	£144,292.00	£136,263.00	£8,029.00	£20,824.00	£0.00	£29,032.00	£77,553.00	£1,081.00	£2,524.00	£1,077.00	£0.00	£4,172.00	£1,680.00	£5,153.00	£0.00	£99.00	£0.00	£0.00	£0.00	£0.00	£674.00	4	£0.00	0	£423.00	7
Llwyd	Mr Elfyn	£144,266.00	£127,208.00	£17,058.00	£14,396.00	£0.00	£29,976.00	£77,235.00	£450.00	£1,830.00	£1,123.00	£0.00	£2,198.00	£4,854.00	£10,713.00	£134.00	£0.00	£0.00	£0.00	£0.00	£0.00	£380.00	4	£0.00	0	£977.00	9
Purchase	Mr Ken	£144,250.00	£136,641.00	£7,609.00	£14,713.00	£0.00	£20,752.00	£90,446.00	£332.00	£1,030.00	£1,294.00	£0.00	£8,074.00	£4,939.00	£438.00	£0.00	£312.00	£0.00	£0.00	£0.00	£445.00	£1,475.00	25	£0.00	0	£0.00	0
Turner	Dr Desmond	£144,164.00	£138,357.00	£5,807.00	£12,321.00	£0.00	£20,590.00	£88,154.00	£1,494.00	£4,080.00	£1,484.00	£0.00	£10,234.00	£4,060.00	£0.00	£0.00	£38.00	£52.00	£0.00	£305.00	£1,247.00	£105.00	10	£0.00	0	£0.00	0
Cooper	Rosie	£144,129.00	£131,263.00	£12,866.00	£23,083.00	£0.00	£18,580.00	£72,096.00	£1,779.00	£4,848.00	£1,131.00	£0.00	£9,746.00	£1,879.00	£9,704.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,283.00	£0.00	0	£0.00	0	£0.00	0
Gardiner	Barry	£144,092.00	£139,591.00	£4,501.00	£15,079.00	£0.00	£11,946.00	£93,888.00	£1,799.00	£4,959.00	£1,333.00	£0.00	£10,587.00	£3,293.00	£659.00	£0.00	£0.00	£0.00	£0.00	£0.00	£549.00	£0.00	0	£0.00	0	£0.00	0
Vaizey	Mr Edward	£144,088.00	£137,130.00	£6,958.00	£23,083.00	£0.00	£16,969.00	£82,436.00	£465.00	£1,577.00	£974.00	£4,032.00	£7,594.00	£4,294.00	£623.00	£0.00	£48.00	£0.00	£1,681.00	£0.00	£0.00	£85.00	3	£0.00	0	£227.00	6
Cousins	Jim	£144,066.00	£129,612.00	£14,454.00	£9,649.00	£0.00	£17,111.00	£93,902.00	£982.00	£2,737.00	£1,174.00	£0.00	£4,057.00	£2,322.00	£5,957.00	£3,967.00	£100.00	£0.00	£0.00	£0.00	£0.00	£685.00	9	£0.00	0	£1,423.00	12
Clwyd	Rt Hon Ann	£143,919.00	£136,104.00	£7,815.00	£21,165.00	£0.00	£14,577.00	£89,847.00	£836.00	£4,374.00	£1,007.00	£0.00	£4,298.00	£7,013.00	£413.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£389.00	11
Penrose	John	£143,700.00	£138,853.00	£4,847.00	£21,211.00	£0.00	£23,624.00	£79,996.00	£866.00	£2,682.00	£1,234.00	£0.00	£9,240.00	£1,480.00	£2,969.00	£0.00	£13.00	£0.00	£0.00	£0.00	£0.00	£106.00	6	£0.00	0	£279.00	9
Weir	Mr Mike	£143,525.00	£126,425.00	£17,100.00	£21,561.00	£0.00	£18,534.00	£75,334.00	£268.00	£595.00	£1,458.00	£0.00	£8,675.00	£2,386.00	£3,283.00	£8,538.00	£40.00	£0.00	£58.00	£0.00	£691.00	£807.00	8	£583.00	8	£714.00	3
Clark	Paul	£143,402.00	£139,750.00	£3,652.00	£22,204.00	£0.00	£19,901.00	£84,890.00	£1,228.00	£3,414.00	£1,250.00	£0.00	£6,863.00	£3,441.00	£211.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Singh	Mr Marsha	£143,353.00	£130,341.00	£13,012.00	£22,964.00	£0.00	£26,026.00	£69,619.00	£712.00	£2,018.00	£1,226.00	£0.00	£7,776.00	£0.00	£4,708.00	£5,812.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,612.00	13	£282.00	4	£598.00	3
Watson	Mr Tom	£143,248.00	£135,352.00	£7,896.00	£16,069.00	£0.00	£19,927.00	£82,801.00	£1,709.00	£5,280.00	£1,257.00	£0.00	£8,309.00	£1,261.00	£5,450.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£646.00	11	£0.00	0	£539.00	6
Binley	Mr Brian	£143,106.00	£137,305.00	£5,801.00	£21,700.00	£0.00	£13,809.00	£82,725.00	£894.00	£1,808.00	£1,037.00	£0.00	£15,332.00	£782.00	£1,113.00	£0.00	£0.00	£0.00	£62.00	£0.00	£3,732.00	£112.00	8	£0.00	0	£0.00	0
Mallaber	Judy	£143,078.00	£137,222.00	£5,856.00	£6,854.00	£0.00	£10,388.00	£101,456.00	£1,008.00	£4,380.00	£1,536.00	£1,600.00	£10,000.00	£4,621.00	£410.00	£0.00	£0.00	£0.00	£0.00	£0.00	£529.00	£0.00	0	£0.00	0	£296.00	11
Tredinnick	David	£143,039.00	£136,766.00	£6,273.00	£23,083.00	£0.00	£17,363.00	£94,398.00	£288.00	£491.00	£1,143.00	£0.00	£0.00	£5,970.00	£68.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£235.00	6
Davies	Mr Quentin	£142,857.00	£131,562.00	£11,295.00	£23,083.00	£0.00	£3,941.00	£97,137.00	£278.00	£789.00	£1,157.00	£5,177.00	£0.00	£3,816.00	£3,551.00	£0.00	£0.00	£0.00	£89.00	£0.00	£1,171.00	£1,683.00	30	£0.00	0	£985.00	22
Wright	Mr Iain	£142,848.00	£127,585.00	£15,263.00	£17,882.00	£0.00	£20,221.00	£84,844.00	£884.00	£1,794.00	£1,316.00	£0.00	£644.00	£3,796.00	£10,719.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£748.00	12
Villiers	Mrs Theresa	£142,696.00	£139,981.00	£2,715.00	£18,181.00	£0.00	£21,096.00	£84,892.00	£1,904.00	£4,965.00	£1,385.00	£0.00	£7,558.00	£1,261.00	£33.00	£0.00	£118.00	£82.00	£1,221.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Creagh	Mary	£142,644.00	£135,030.00	£7,614.00	£23,083.00	£0.00	£14,452.00	£82,651.00	£1,016.00	£3,529.00	£1,138.00	£0.00	£9,161.00	£470.00	£4,457.00	£0.00	£102.00	£0.00	£131.00	£0.00	£0.00	£1,741.00	22	£403.00	10	£310.00	9
Moffatt	Laura	£142,591.00	£137,920.00	£4,671.00	£18,387.00	£0.00	£20,702.00	£84,751.00	£1,547.00	£5,206.00	£1,327.00	£0.00	£6,000.00	£1,790.00	£2,020.00	£0.00	£573.00	£0.00	£0.00	£0.00	£0.00	£288.00	21	£0.00	0	£0.00	0
Hancock	Mr Mike	£142,347.00	£134,940.00	£7,407.00	£10,859.00	£0.00	£21,251.00	£85,508.00	£1,758.00	£4,947.00	£1,259.00	£0.00	£9,358.00	£5,536.00	£0.00	£0.00	£791.00	£0.00	£0.00	£0.00	£0.00	£1,080.00	30	£0.00	0	£0.00	0
McLoughlin	Rt Hon Patrick	£142,343.00	£131,773.00	£10,570.00	£22,968.00	£0.00	£14,620.00	£80,818.00	£654.00	£1,020.00	£1,431.00	£0.00	£10,262.00	£4,146.00	£5,418.00	£0.00	£310.00	£0.00	£0.00	£0.00	£0.00	£588.00	8	£0.00	0	£108.00	2
Jenkin	Mr Bernard	£142,265.00	£137,809.00	£4,456.00	£23,083.00	£0.00	£21,066.00	£88,724.00	£398.00	£1,160.00	£1,156.00	£0.00	£2,222.00	£2,918.00	£505.00	£0.00	£62.00	£116.00	£0.00	£0.00	£0.00	£418.00	30	£80.00	10	£357.00	24
Owen	Albert	£142,138.00	£123,373.00	£18,765.00	£22,519.00	£0.00	£17,215.00	£76,318.00	£626.00	£1,380.00	£1,213.00	£0.00	£4,102.00	£1,254.00	£10,977.00	£0.00	£0.00	£0.00	£223.00	£0.00	£0.00	£5,213.00	30	£0.00	0	£1,098.00	14
Davis	Rt Hon David	£141,963.00	£131,075.00	£10,888.00	£17,643.00	£0.00	£19,258.00	£88,036.00	£462.00	£1,489.00	£1,316.00	£0.00	£2,871.00	£993.00	£8,369.00	£0.00	£57.00	£0.00	£970.00	£405.00	£0.00	£0.00	0	£0.00	0	£94.00	2
Francois	Mr Mark	£141,792.00	£134,658.00	£7,134.00	£20,689.00	£0.00	£11,739.00	£88,842.00	£1,044.00	£3,215.00	£1,490.00	£0.00	£7,639.00	£640.00	£5,319.00	£0.00	£0.00	£0.00	£40.00	£0.00	£1,135.00	£0.00	0	£0.00	0	£0.00	0
Viggers	Sir Peter	£141,766.00	£132,665.00	£9,101.00	£23,083.00	£0.00	£20,703.00	£71,754.00	£278.00	£977.00	£1,213.00	£0.00	£14,657.00	£5,139.00	£404.00	£0.00	£6.00	£0.00	£0.00	£0.00	£2,333.00	£1,020.00	30	£0.00	0	£199.00	4
Heyes	David	£141,756.00	£130,689.00	£11,067.00	£22,861.00	£0.00	£19,911.00	£81,934.00	£260.00	£283.00	£1,222.00	£0.00	£4,218.00	£5,668.00	£3,766.00	£0.00	£24.00	£0.00	£0.00	£0.00	£0.00	£902.00	14	£0.00	0	£707.00	10
Prescott	Rt Hon John	£141,644.00	£126,203.00	£15,441.00	£23,083.00	£0.00	£10,920.00	£88,563.00	£674.00	£1,712.00	£1,251.00	£0.00	£0.00	£2,464.00	£9,718.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,031.00	20	£0.00	0	£1,228.00	12
Williams	Mr Roger	£141,625.00	£130,418.00	£11,207.00	£20,486.00	£0.00	£13,894.00	£82,167.00	£664.00	£2,464.00	£1,123.00	£0.00	£9,620.00	£6,659.00	£3,304.00	£0.00	£316.00	£81.00	£52.00	£0.00	£0.00	£644.00	7	£0.00	0	£151.00	6
Bradshaw	Mr Ben	£141,595.00	£138,143.00	£3,452.00	£19,715.00	£0.00	£17,117.00	£84,890.00	£1,446.00	£4,592.00	£827.00	£0.00	£9,556.00	£0.00	£3,117.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£159.00	2	£0.00	0	£176.00	6
Meacher	Rt Hon Michael	£141,575.00	£131,253.00	£10,322.00	£8,944.00	£0.00	£21,961.00	£89,882.00	£1,076.00	£3,671.00	£1,297.00	£0.00	£4,422.00	£0.00	£9,260.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£866.00	5	£0.00	0	£196.00	2
Johnson	Mr Boris	£141,287.00	£139,948.00	£1,339.00	£23,083.00	£0.00	£14,319.00	£94,240.00	£513.00	£1,057.00	£1,222.00	£0.00	£5,514.00	£0.00	£0.00	£0.00	£0.00	£0.00	£589.00	£750.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Stunell	Andrew	£141,206.00	£136,157.00	£5,049.00	£15,383.00	£0.00	£12,464.00	£90,732.00	£539.00	£1,895.00	£1,283.00	£0.00	£13,861.00	£679.00	£2,829.00	£0.00	£0.00	£0.00	£171.00	£0.00	£0.00	£743.00	20	£0.00	0	£627.00	18
Smith	Angela E.	£141,131.00	£138,660.00	£2,471.00	£14,618.00	£0.00	£18,516.00	£88,849.00	£1,653.00	£4,152.00	£1,267.00	£0.00	£9,605.00	£2,219.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£101.00	12	£0.00	0	£151.00	18
Naysmith	Dr Doug	£141,111.00	£133,227.00	£7,884.00	£20,808.00	£0.00	£18,085.00	£85,325.00	£461.00	£2,216.00	£1,168.00	£0.00	£5,164.00	£2,137.00	£5,459.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£288.00	8
Herbert	Mr Nick	£141,036.00	£135,513.00	£5,523.00	£22,720.00	£0.00	£18,419.00	£90,034.00	£648.00	£2,330.00	£1,039.00	£0.00	£323.00	£4,019.00	£475.00	£0.00	£0.00	£0.00	£573.00	£437.00	£0.00	£0.00	0	£0.00	0	£19.00	2
Spink	Bob	£140,987.00	£135,016.00	£5,971.00	£23,083.00	£0.00	£13,356.00	£82,472.00	£1,005.00	£4,845.00	£1,148.00	£0.00	£9,107.00	£4,794.00	£41.00	£0.00	£162.00	£0.00	£24.00	£0.00	£896.00	£0.00	0	£0.00	0	£54.00	9
Flynn	Paul	£140,961.00	£132,865.00	£8,096.00	£16,958.00	£0.00	£13,913.00	£92,902.00	£202.00	£510.00	£1,209.00	£0.00	£7,171.00	£3,999.00	£2,780.00	£0.00	£0.00	£0.00	£58.00	£0.00	£344.00	£592.00	4	£0.00	0	£323.00	5
Green	Damian	£140,946.00	£135,413.00	£5,533.00	£22,350.00	£0.00	£10,512.00	£84,955.00	£275.00	£694.00	£1,111.00	£7,980.00	£7,536.00	£3,446.00	£311.00	£0.00	£0.00	£0.00	£622.00	£0.00	£1,154.00	£0.00	0	£0.00	0	£0.00	0
Gilroy	Linda	£140,900.00	£133,091.00	£7,809.00	£20,283.00	£0.00	£14,057.00	£85,836.00	£921.00	£3,456.00	£1,350.00	£0.00	£7,188.00	£4,868.00	£2,449.00	£124.00	£0.00	£0.00	£0.00	£0.00	£0.00	£79.00	3	£0.00	0	£289.00	4
Mates	Rt Hon Michael	£140,805.00	£135,601.00	£5,204.00	£23,077.00	£0.00	£17,471.00	£83,615.00	£281.00	£1,388.00	£1,123.00	£0.00	£8,646.00	£3,653.00	£320.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£684.00	30	£0.00	0	£547.00	24
Eagle	Angela	£140,753.00	£131,051.00	£9,702.00	£7,045.00	£0.00	£19,116.00	£89,492.00	£1,062.00	£1,534.00	£1,204.00	£2,028.00	£9,570.00	£2,045.00	£7,144.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£513.00	6
Blunt	Mr Crispin	£140,663.00	£137,540.00	£3,123.00	£23,083.00	£0.00	£19,347.00	£90,703.00	£670.00	£2,434.00	£1,303.00	£0.00	£0.00	£2,446.00	£613.00	£0.00	£11.00	£0.00	£0.00	£0.00	£0.00	£21.00	1	£0.00	0	£32.00	4
Brown	Lyn	£140,537.00	£140,284.00	£253.00	£15,889.00	£0.00	£20,358.00	£93,109.00	£1,858.00	£4,891.00	£924.00	£0.00	£3,255.00	£137.00	£0.00	£0.00	£0.00	£0.00	£116.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Hendrick	Mr Mark	£140,443.00	£124,900.00	£15,543.00	£16,226.00	£0.00	£19,528.00	£77,544.00	£477.00	£360.00	£1,296.00	£0.00	£9,469.00	£4,164.00	£9,986.00	£540.00	£154.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£699.00	4
Bellingham	Mr Henry	£140,359.00	£133,569.00	£6,790.00	£22,350.00	£0.00	£14,424.00	£85,576.00	£1,257.00	£4,735.00	£1,378.00	£0.00	£3,849.00	£4,338.00	£866.00	£0.00	£0.00	£0.00	£0.00	£0.00	£266.00	£1,320.00	30	£0.00	0	£0.00	0
Jones	Lynne	£139,982.00	£134,442.00	£5,540.00	£13,528.00	£0.00	£11,538.00	£100,254.00	£1,054.00	£1,609.00	£1,354.00	£2,967.00	£2,138.00	£4,394.00	£201.00	£0.00	£102.00	£0.00	£0.00	£0.00	£0.00	£843.00	9	£0.00	0	£0.00	0
Paisley	Rt Hon Dr Ian	£139,565.00	£131,897.00	£7,668.00	£18,136.00	£0.00	£26,084.00	£85,760.00	£305.00	£1,612.00	£0.00	£0.00	£0.00	£0.00	£0.00	£7,668.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Gray	Mr James	£139,528.00	£131,894.00	£7,634.00	£23,083.00	£0.00	£15,192.00	£79,509.00	£752.00	£2,806.00	£1,184.00	£0.00	£9,368.00	£1,849.00	£4,923.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	1	£862.00	25	£0.00	0
Salmond	Rt Hon Alex	£139,233.00	£133,063.00	£6,170.00	£14,130.00	£0.00	£19,808.00	£89,809.00	£1,071.00	£4,768.00	£1,255.00	£0.00	£2,222.00	£958.00	£0.00	£2,396.00	£0.00	£0.00	£0.00	£0.00	£0.00	£294.00	2	£0.00	0	£2,522.00	17
Short	Rt Hon Clare	£139,210.00	£128,453.00	£10,757.00	£14,420.00	£0.00	£4,108.00	£105,802.00	£670.00	£2,231.00	£1,222.00	£0.00	£0.00	£3,412.00	£6,973.00	£0.00	£0.00	£0.00	£279.00	£0.00	£0.00	£0.00	0	£0.00	0	£93.00	4
Huhne	Chris	£139,185.00	£128,849.00	£10,336.00	£3,970.00	£0.00	£20,641.00	£90,637.00	£971.00	£1,570.00	£1,103.00	£0.00	£9,957.00	£2,530.00	£5,995.00	£0.00	£0.00	£0.00	£602.00	£309.00	£748.00	£0.00	0	£0.00	0	£152.00	8
Follett	Barbara	£139,147.00	£138,775.00	£372.00	£22,254.00	£0.00	£19,907.00	£91,715.00	£362.00	£3,047.00	£1,490.00	£0.00	£0.00	£372.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Spring	Mr Richard	£139,024.00	£133,520.00	£5,504.00	£23,083.00	£0.00	£16,805.00	£77,375.00	£1,016.00	£2,801.00	£1,427.00	£0.00	£11,013.00	£5,340.00	£126.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£38.00	3
Luff	Peter	£139,015.00	£132,925.00	£6,090.00	£19,694.00	£0.00	£20,994.00	£83,194.00	£1,134.00	£1,790.00	£1,335.00	£0.00	£4,784.00	£4,853.00	£364.00	£0.00	£110.00	£0.00	£0.00	£0.00	£0.00	£617.00	12	£0.00	0	£146.00	7
Syms	Mr Robert	£138,917.00	£133,133.00	£5,784.00	£23,083.00	£0.00	£18,630.00	£81,739.00	£0.00	£0.00	£922.00	£0.00	£8,759.00	£5,784.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Southworth	Helen	£138,699.00	£128,476.00	£10,223.00	£17,643.00	£0.00	£17,630.00	£85,361.00	£483.00	£1,787.00	£293.00	£0.00	£5,279.00	£1,460.00	£8,235.00	£367.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	2	£0.00	0	£161.00	6
Selous	Andrew	£138,628.00	£133,390.00	£5,238.00	£23,074.00	£0.00	£7,372.00	£89,000.00	£1,148.00	£5,731.00	£1,237.00	£0.00	£5,828.00	£1,416.00	£2,557.00	£0.00	£699.00	£0.00	£0.00	£0.00	£566.00	£0.00	0	£0.00	0	£0.00	0
Ainsworth	Mr Peter	£138,415.00	£132,573.00	£5,842.00	£12,363.00	£0.00	£14,168.00	£94,230.00	£632.00	£1,753.00	£1,183.00	£0.00	£8,244.00	£2,657.00	£930.00	£0.00	£0.00	£0.00	£2,171.00	£0.00	£0.00	£11.00	2	£0.00	0	£73.00	18
Breed	Mr Colin	£138,371.00	£126,028.00	£12,343.00	£17,807.00	£0.00	£19,113.00	£74,860.00	£627.00	£2,025.00	£1,288.00	£0.00	£10,308.00	£5,114.00	£6,645.00	£82.00	£0.00	£0.00	£0.00	£0.00	£0.00	£335.00	1	£0.00	0	£167.00	2
Trickett	Jon	£138,359.00	£125,408.00	£12,951.00	£6,141.00	£0.00	£22,531.00	£83,900.00	£1,508.00	£4,078.00	£1,346.00	£0.00	£5,904.00	£4,065.00	£4,782.00	£831.00	£0.00	£0.00	£0.00	£315.00	£0.00	£1,510.00	22	£0.00	0	£1,448.00	20
Gildernew	Michelle	£138,272.00	£134,672.00	£3,600.00	£21,000.00	£0.00	£21,158.00	£90,506.00	£111.00	£519.00	£1,378.00	£0.00	£0.00	£1,576.00	£0.00	£352.00	£0.00	£0.00	£0.00	£0.00	£0.00	£358.00	4	£0.00	0	£1,314.00	8
