														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
McGuire	Rt Hon Anne	£162,765.00	£144,979.00	£17,786.00	£19,595.00	£0.00	£19,994.00	£86,623.00	£1,856.00	£3,640.00	£1,781.00	£0.00	£11,490.00	£1,680.00	£2,784.00	£9,847.00	£28.00	£0.00	£0.00	£0.00	£0.00	£2,094.00	12	£0.00	0	£1,353.00	16
Robertson	Mr Laurence	£162,749.00	£148,338.00	£14,411.00	£23,083.00	£0.00	£30,374.00	£81,454.00	£487.00	£1,696.00	£1,229.00	£0.00	£10,015.00	£9,662.00	£1,147.00	£0.00	£323.00	£62.00	£0.00	£2,049.00	£83.00	£0.00	0	£0.00	0	£1,085.00	12
Milburn	Rt Hon Alan	£162,589.00	£143,860.00	£18,729.00	£23,083.00	£0.00	£21,313.00	£90,504.00	£612.00	£2,173.00	£1,187.00	£0.00	£4,988.00	£1,714.00	£13,650.00	£1,737.00	£0.00	£0.00	£0.00	£0.00	£0.00	£551.00	4	£167.00	2	£910.00	10
Murphy	Rt Hon Jim	£162,542.00	£148,821.00	£13,721.00	£22,801.00	£0.00	£18,962.00	£91,886.00	£560.00	£1,583.00	£1,435.00	£0.00	£11,594.00	£1,008.00	£260.00	£12,378.00	£75.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Gwynne	Andrew	£162,325.00	£146,291.00	£16,034.00	£23,026.00	£0.00	£16,576.00	£94,381.00	£545.00	£92.00	£1,280.00	£0.00	£10,391.00	£1,569.00	£13,495.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£360.00	2	£546.00	6	£64.00	2
Clarke	Rt Hon Charles	£162,220.00	£152,948.00	£9,272.00	£23,083.00	£0.00	£19,844.00	£92,000.00	£1,906.00	£5,092.00	£1,192.00	£0.00	£9,831.00	£2,964.00	£4,517.00	£0.00	£0.00	£0.00	£0.00	£0.00	£366.00	£830.00	19	£29.00	2	£566.00	16
Flello	Mr Robert	£162,116.00	£150,405.00	£11,711.00	£20,797.00	£0.00	£24,990.00	£86,854.00	£2,654.00	£4,345.00	£1,376.00	£0.00	£9,389.00	£4,993.00	£5,942.00	£0.00	£0.00	£0.00	£290.00	£0.00	£0.00	£84.00	4	£0.00	0	£402.00	12
Taylor	Matthew	£162,040.00	£148,285.00	£13,755.00	£23,083.00	£0.00	£21,297.00	£87,392.00	£919.00	£3,346.00	£1,156.00	£1,869.00	£9,223.00	£5,986.00	£2,828.00	£1,369.00	£764.00	£0.00	£41.00	£417.00	£0.00	£919.00	8	£0.00	0	£1,431.00	17
Pritchard	Mark	£161,827.00	£146,751.00	£15,076.00	£23,083.00	£0.00	£21,708.00	£76,797.00	£1,220.00	£4,341.00	£1,103.00	£0.00	£18,499.00	£3,996.00	£4,881.00	£0.00	£205.00	£298.00	£92.00	£363.00	£3,947.00	£1,251.00	10	£0.00	0	£43.00	1
Moon	Mrs Madeleine	£161,729.00	£149,504.00	£12,225.00	£22,902.00	£0.00	£18,994.00	£93,206.00	£910.00	£2,182.00	£1,023.00	£0.00	£10,287.00	£1,749.00	£7,586.00	£0.00	£43.00	£122.00	£173.00	£0.00	£0.00	£867.00	10	£0.00	0	£1,685.00	14
